OCCUPANCY_DATE,SHELTER_NAME,SECTOR,OCCUPANCY,CAPACITY
2018-01-03,Youth Without Shelter,Youth,19,20
2018-01-04,COSTI Reception Centre,Families,307,330
2018-01-04,COSTI Reception Centre,Co-ed,16,25
2018-01-04,COSTI Reception Centre,Families,324,400
2018-01-04,COSTI Reception Centre,Co-ed,16,16
2018-01-04,Christie Ossington Men's Hostel,Men,5,17
2018-01-04,Christie Ossington Men's Hostel,Men,63,63
2018-01-04,Christie Ossington Men's Hostel,Men,30,30
2018-01-04,Christie Refugee Welcome Centre,Families,68,76
2018-01-04,Birchmount Residence,Men,57,60
2018-01-04,Birkdale Residence,Families,171,160
2018-01-04,Birkdale Residence,Families,182,205
2018-01-04,Birkdale Residence,Men,20,36
2018-01-04,Birkdale Residence,Co-ed,1,2
2018-01-04,Downsview Dells,Men,27,28
2018-01-04,Family Residence,Co-ed,0,0
2018-01-04,Family Residence,Families,218,252
2018-01-04,Family Residence,Families,52,48
2018-01-04,Family Residence,Families,182,110
2018-01-04,Family Residence,Families,52,50
2018-01-04,Family Residence,Families,110,125
2018-01-04,Fort York Residence,Co-ed,21,21
2018-01-04,Fort York Residence,Men,7,21
2018-01-04,Fort York Residence,Men,72,74
2018-01-04,Fort York Residence,Men,23,24
2018-01-04,Robertson House,Families,103,90
2018-01-04,S2H Assessment and Referral Ctre,Men,2,2
2018-01-04,S2H Assessment and Referral Ctre,Co-ed,37,40
2018-01-04,Seaton House,Men,28,28
2018-01-04,Seaton House,Men,27,27
2018-01-04,Seaton House,Men,79,80
2018-01-04,Seaton House,Men,59,64
2018-01-04,Seaton House,Men,235,240
2018-01-04,Seaton House,Men,19,42
2018-01-04,Seaton House,Men,100,100
2018-01-04,Women's Residence,Women,44,46
2018-01-04,Women's Residence,Women,10,10
2018-01-09,Cornerstone Place,Men,55,56
2018-01-04,Women's Residence,Women,13,13
2018-01-04,Women's Residence,Women,96,103
2018-01-04,Cornerstone Place,Men,56,56
2018-01-04,Covenant House,Youth,2,2
2018-01-04,Covenant House,Youth,91,94
2018-01-04,Covenant House,Youth,28,28
2018-01-04,Dixon Hall - Heyworth House,Co-ed,9,9
2018-01-04,Dixon Hall - Heyworth House,Co-ed,74,74
2018-01-04,Dixon Hall - Schoolhouse,Men,42,42
2018-01-04,Eva's Phoenix,Youth,49,50
2018-01-04,Eva's Place,Youth,40,40
2018-01-04,Eva's Satellite,Youth,32,32
2018-01-04,Eva's Satellite,Youth,1,1
2018-01-04,Fife House Transitional Program,Co-ed,5,5
2018-01-04,Fife House Transitional Program,Co-ed,11,11
2018-01-04,FV Women's Transition to Housing,Women,22,23
2018-01-04,FV Women's Transition to Housing,Women,37,37
2018-01-04,Fred Victor Women's Hostel,Women,3,4
2018-01-04,Fred Victor Women's Hostel,Women,41,42
2018-01-04,"Fred Victor, BUS",Co-ed,10,10
2018-01-04,"Fred Victor, BUS",Co-ed,60,60
2018-01-04,Good Shepherd Centre,Men,5,5
2018-01-04,Good Shepherd Centre,Men,69,70
2018-01-04,Good Shepherd Centre,Men,25,25
2018-01-04,HFS - Kennedy Shelter,Women,87,90
2018-01-04,HFS - Savard's Womens' Shelter,Women,26,30
2018-01-04,HFS - Scarborough Shelter,Co-ed,67,67
2018-01-04,HFS - Strachan House,Co-ed,5,5
2018-01-04,HFS - Strachan House,Co-ed,81,83
2018-01-04,Horizons for Youth,Youth,43,45
2018-01-04,Kennedy House Youth shelter,Youth,40,40
2018-01-04,Na-Me-Res,Men,70,71
2018-01-04,Na-Me-Res,Men,20,20
2018-01-04,Eagles Nest Transition House,Youth,11,12
2018-01-04,SVDP - Amelie House,Women,20,20
2018-01-04,SVDP - Elisa House,Women,40,40
2018-01-04,SVDP - Mary's Home,Women,6,6
2018-01-04,SVDP - Mary's Home,Women,38,38
2018-01-04,SVDP - St. Clare's Residence,Women,30,30
2018-01-04,St. Simon's Shelter,Men,5,5
2018-01-04,St. Simon's Shelter,Men,57,57
2018-01-04,Street Haven,Women,45,46
2018-01-04,Street Haven,Women,4,4
2018-01-04,Sojourn House,Families,90,76
2018-01-04,Sojourn House,Co-ed,85,85
